
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
48:A9:8A:71:4C:F1, 2024-02-15 18:21:19, 2024-02-15 18:21:36, 10, 130, WPA2, CCMP, PSK, -75,       29,        3,   0.  0.  0.  0,   9, MRS HAPPY, 
C4:6E:1F:2C:E2:80, 2024-02-15 18:21:19, 2024-02-15 18:21:38,  9, 270, WPA2, CCMP, PSK, -64,       37,        0,   0.  0.  0.  0,  13, Todle je vona, 
30:CC:21:17:01:B3, 2024-02-15 18:21:19, 2024-02-15 18:21:37,  1, 130, WPA2, CCMP, PSK, -84,       16,        0,   0.  0.  0.  0,  15, O2-Internet-008, 
64:D1:54:C8:8D:41, 2024-02-15 18:21:19, 2024-02-15 18:21:37,  1, 270, WPA2 WPA, CCMP, PSK, -75,       18,        0,   0.  0.  0.  0,   4, Ivet, 
18:FD:74:71:B1:09, 2024-02-15 18:21:19, 2024-02-15 18:21:38,  2, 130, WPA2, CCMP, PSK, -71,       21,       15,   0.  0.  0.  0,   6, TEREZA, 
CC:2D:E0:C2:EE:6B, 2024-02-15 18:21:19, 2024-02-15 18:21:38,  5, 270, WPA2 WPA, CCMP, PSK, -58,       43,       10,   0.  0.  0.  0,   8, KARMASIN, 
C4:AD:34:40:FD:EE, 2024-02-15 18:21:19, 2024-02-15 18:21:38,  7, 270, WPA2 WPA, CCMP, PSK, -45,       41,        3,   0.  0.  0.  0,   5, Mik 1, 
DC:2C:6E:A5:0A:EC, 2024-02-15 18:21:20, 2024-02-15 18:21:37,  4, 130, WPA2, CCMP, PSK, -70,       37,        0,   0.  0.  0.  0,   4, HOME, 
36:60:F9:17:23:04, 2024-02-15 18:21:21, 2024-02-15 18:21:36,  9, 540, WPA3 WPA2, CCMP, SAE PSK, -78,        9,        0,   0.  0.  0.  0,  18, TP-Link_Guest_2304, 
36:60:F9:27:23:04, 2024-02-15 18:21:21, 2024-02-15 18:21:35,  9, 540, WPA2, CCMP, PSK, -79,        7,        0,   0.  0.  0.  0,   0, , 
34:60:F9:17:23:04, 2024-02-15 18:21:21, 2024-02-15 18:21:35,  9, 540, WPA2, CCMP, PSK, -78,        6,        5,   0.  0.  0.  0,  14, stevemoses 2,4, 
98:DA:C4:5A:12:80, 2024-02-15 18:21:21, 2024-02-15 18:21:36, 10, 270, WPA2, CCMP, PSK, -82,        8,        0,   0.  0.  0.  0,  12, TP-Link_1280, 
CC:2D:E0:60:22:99, 2024-02-15 18:21:33, 2024-02-15 18:21:36,  5, 270, WPA2 WPA, CCMP, PSK, -78,        2,        0,   0.  0.  0.  0,   6, Standa, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
96:D7:28:8F:BB:6A, 2024-02-15 18:21:19, 2024-02-15 18:21:19, -79,        6, (not associated) ,
DC:F5:05:CC:0A:BB, 2024-02-15 18:21:19, 2024-02-15 18:21:34,  -1,       11, 18:FD:74:71:B1:09,
8E:4D:BE:69:78:0A, 2024-02-15 18:21:21, 2024-02-15 18:21:29, -63,        4, CC:2D:E0:C2:EE:6B,
10:63:C8:DB:2B:BB, 2024-02-15 18:21:22, 2024-02-15 18:21:37, -31,       18, CC:2D:E0:C2:EE:6B,
2A:CF:92:82:BC:D0, 2024-02-15 18:21:26, 2024-02-15 18:21:34, -81,        4, 18:FD:74:71:B1:09,

