
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
30:CC:21:17:01:B3, 2024-02-18 13:25:16, 2024-02-18 13:25:22, 11, 130, WPA2, CCMP, PSK, -46,       14,        0,   0.  0.  0.  0,  15, O2-Internet-008, 
64:D1:54:C8:8D:41, 2024-02-18 13:25:16, 2024-02-18 13:25:20,  1, 270, WPA2 WPA, CCMP, PSK, -81,        3,        0,   0.  0.  0.  0,   4, Ivet, 
36:60:F9:27:23:04, 2024-02-18 13:25:16, 2024-02-18 13:25:22,  9, 540, WPA2, CCMP, PSK, -77,        6,        0,   0.  0.  0.  0,   0, , 
C4:AD:34:40:FD:EE, 2024-02-18 13:25:16, 2024-02-18 13:25:22,  7, 270, WPA2 WPA, CCMP, PSK, -60,       13,        0,   0.  0.  0.  0,   5, Mik 1, 
CC:2D:E0:C2:EE:6B, 2024-02-18 13:25:16, 2024-02-18 13:25:21,  5, 270, WPA2 WPA, CCMP, PSK, -49,        8,        2,   0.  0.  0.  0,   8, KARMASIN, 
DC:2C:6E:A5:0A:EC, 2024-02-18 13:25:17, 2024-02-18 13:25:21,  4, 130, WPA2, CCMP, PSK, -74,       11,        0,   0.  0.  0.  0,   4, HOME, 
18:FD:74:71:B1:09, 2024-02-18 13:25:17, 2024-02-18 13:25:17,  2,  -1, WPA, ,   , -67,        0,        1,   0.  0.  0.  0,   0, , 
C4:6E:1F:2C:E2:80, 2024-02-18 13:25:17, 2024-02-18 13:25:22,  9, 270, WPA2, CCMP, PSK, -74,       10,        0,   0.  0.  0.  0,  13, Todle je vona, 
36:60:F9:17:23:04, 2024-02-18 13:25:18, 2024-02-18 13:25:22,  9, 540, WPA3 WPA2, CCMP, SAE PSK, -78,        6,        0,   0.  0.  0.  0,  18, TP-Link_Guest_2304, 
AC:9E:17:EC:1E:1C, 2024-02-18 13:25:18, 2024-02-18 13:25:18,  9, 270, WPA2, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,   4, ZAKO, 
48:A9:8A:71:4C:F1, 2024-02-18 13:25:18, 2024-02-18 13:25:22, 10, 130, WPA2, CCMP, PSK, -77,        3,        0,   0.  0.  0.  0,   9, MRS HAPPY, 
34:60:F9:17:23:04, 2024-02-18 13:25:18, 2024-02-18 13:25:22,  9, 540, WPA2, CCMP, PSK, -77,        3,        0,   0.  0.  0.  0,  14, stevemoses 2,4, 
98:DA:C4:5A:12:80, 2024-02-18 13:25:18, 2024-02-18 13:25:18, 10, 270, WPA2, CCMP, PSK, -78,        1,        0,   0.  0.  0.  0,  12, TP-Link_1280, 
CC:2D:E0:60:22:99, 2024-02-18 13:25:19, 2024-02-18 13:25:19,  5, 270, WPA2 WPA, CCMP, PSK, -82,        1,        0,   0.  0.  0.  0,   6, Standa, 
48:22:54:6B:E6:D8, 2024-02-18 13:25:19, 2024-02-18 13:25:19, 11,  -1, WPA, ,   , -84,        0,        1,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
5E:7C:B1:EC:42:4F, 2024-02-18 13:25:16, 2024-02-18 13:25:16, -66,        1, C4:AD:34:40:FD:EE,

