
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
AE:29:49:62:0A:0E, 2024-04-03 14:33:33, 2024-04-03 14:33:46, 10, 180, WPA2, CCMP, PSK, -46,       29,       12,   0.  0.  0.  0,   6, Zephyr, 
50:2C:C6:58:A2:AF, 2024-04-03 14:33:33, 2024-04-03 14:33:45,  1,  65, WPA2, CCMP, PSK, -55,       14,        0,   0.  0.  0.  0,   8, c658a2af, 
CC:2D:E0:61:19:5B, 2024-04-03 14:33:34, 2024-04-03 14:33:37,  1, 135, WPA2, CCMP, PSK, -77,        2,        0,   0.  0.  0.  0,  13, VUZ-apartman8, 
72:05:43:D1:30:E1, 2024-04-03 14:33:34, 2024-04-03 14:33:45,  6, 130, WPA2, CCMP, PSK, -66,        5,        0,   0.  0.  0.  0,   6, , 
E4:C3:2A:E6:9B:32, 2024-04-03 14:33:34, 2024-04-03 14:33:45, 11, 270, WPA2, CCMP, PSK, -56,       25,        0,   0.  0.  0.  0,  12, TP-Link_9B32, 
00:1E:42:61:69:4F, 2024-04-03 14:33:34, 2024-04-03 14:33:45, 11, 130, WPA2, CCMP, PSK, -56,        2,      706,   0.  0.  0.  0,   7, pwnt_2G, 
CC:2D:E0:4E:38:C4, 2024-04-03 14:33:34, 2024-04-03 14:33:44,  4, 135, WPA2 WPA, CCMP, PSK, -35,        5,      404,   0.  0.  0.  0,  11, VUZ-jidelna, 
F2:0A:8D:A2:5B:79, 2024-04-03 14:33:35, 2024-04-03 14:33:45,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -58,       16,       85,   0.  0.  0.  0,   9, 0nd_7ich , 
5A:35:3D:4D:77:F2, 2024-04-03 14:33:36, 2024-04-03 14:33:45, 13, 360, WPA2, CCMP, PSK, -72,        7,        2,   0.  0.  0.  0,  10, Vojta_wifi, 
D2:1D:61:9A:05:BF, 2024-04-03 14:33:36, 2024-04-03 14:33:45, 13, 180, WPA2, CCMP, PSK, -47,       17,        0,   0.  0.  0.  0,   9, Nokia 7.2, 
FE:92:A7:C2:05:FC, 2024-04-03 14:33:37, 2024-04-03 14:33:44,  6, 130, WPA2, CCMP, PSK, -66,       11,        5,   0.  0.  0.  0,   3, 404, 
CC:2D:E0:61:19:59, 2024-04-03 14:33:37, 2024-04-03 14:33:37,  1, 135, WPA2, CCMP, PSK, -70,        1,        0,   0.  0.  0.  0,  13, VUZ-apartman4, 
CC:2D:E0:61:19:C3, 2024-04-03 14:33:37, 2024-04-03 14:33:37,  1, 135, WPA2, CCMP, PSK, -76,        2,        0,   0.  0.  0.  0,  13, VUZ-apartman3, 
CC:2D:E0:61:19:55, 2024-04-03 14:33:45, 2024-04-03 14:33:45,  1, 135, WPA2, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,  13, VUZ-apartman7, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
28:3A:4D:14:C6:1B, 2024-04-03 14:33:34, 2024-04-03 14:33:40, -65,       13, CC:2D:E0:4E:38:C4,
E2:87:23:DE:37:B8, 2024-04-03 14:33:34, 2024-04-03 14:33:44, -71,      156, CC:2D:E0:4E:38:C4,
EA:76:09:50:FC:4B, 2024-04-03 14:33:35, 2024-04-03 14:33:39, -67,       14, CC:2D:E0:4E:38:C4,
0C:96:E6:B7:6A:B9, 2024-04-03 14:33:35, 2024-04-03 14:33:43, -49,        5, CC:2D:E0:4E:38:C4,
A0:59:50:2C:BB:2C, 2024-04-03 14:33:36, 2024-04-03 14:33:43, -47,       65, CC:2D:E0:4E:38:C4,
3C:55:76:E9:36:2B, 2024-04-03 14:33:36, 2024-04-03 14:33:43, -51,       67, CC:2D:E0:4E:38:C4,
3C:55:76:E9:53:8D, 2024-04-03 14:33:36, 2024-04-03 14:33:43, -65,       32, CC:2D:E0:4E:38:C4,
0A:45:77:A2:33:52, 2024-04-03 14:33:36, 2024-04-03 14:33:39, -43,        5, CC:2D:E0:4E:38:C4,
C8:E2:65:8D:3D:C6, 2024-04-03 14:33:36, 2024-04-03 14:33:43, -50,        4, CC:2D:E0:4E:38:C4,
3C:9C:0F:72:F5:F1, 2024-04-03 14:33:36, 2024-04-03 14:33:43, -26,       59, CC:2D:E0:4E:38:C4,
50:DE:06:BA:65:D8, 2024-04-03 14:33:36, 2024-04-03 14:33:43, -57,       15, AE:29:49:62:0A:0E,
EE:BC:F3:1E:06:C0, 2024-04-03 14:33:36, 2024-04-03 14:33:41, -27,        4, (not associated) ,
60:A5:E2:43:C6:23, 2024-04-03 14:33:36, 2024-04-03 14:33:44, -47,       64, 00:1E:42:61:69:4F,
A0:59:50:2C:34:6D, 2024-04-03 14:33:36, 2024-04-03 14:33:44, -45,      299, 00:1E:42:61:69:4F,
A0:80:69:FA:90:15, 2024-04-03 14:33:36, 2024-04-03 14:33:44, -52,      153, 00:1E:42:61:69:4F,
3C:55:76:E9:1D:7F, 2024-04-03 14:33:36, 2024-04-03 14:33:44, -59,       31, 00:1E:42:61:69:4F,
30:45:96:E9:BF:6D, 2024-04-03 14:33:37, 2024-04-03 14:33:37,  -1,        1, D2:1D:61:9A:05:BF,
E8:84:A5:25:16:65, 2024-04-03 14:33:37, 2024-04-03 14:33:37, -45,        7, F2:0A:8D:A2:5B:79,
8C:8D:28:33:C8:B3, 2024-04-03 14:33:37, 2024-04-03 14:33:44, -47,       78, F2:0A:8D:A2:5B:79,
3C:55:76:E9:98:AB, 2024-04-03 14:33:37, 2024-04-03 14:33:44, -67,        7, FE:92:A7:C2:05:FC,
68:7A:64:CD:02:44, 2024-04-03 14:33:37, 2024-04-03 14:33:37, -61,        1, (not associated) ,
10:5B:AD:B5:27:6D, 2024-04-03 14:33:38, 2024-04-03 14:33:43, -43,        9, CC:2D:E0:4E:38:C4,
8E:E0:9D:25:B3:D5, 2024-04-03 14:33:39, 2024-04-03 14:33:39, -63,        5, CC:2D:E0:4E:38:C4,
8C:F1:12:2C:7B:48, 2024-04-03 14:33:39, 2024-04-03 14:33:39, -52,       33, CC:2D:E0:4E:38:C4,
3C:55:76:E9:27:47, 2024-04-03 14:33:39, 2024-04-03 14:33:39, -56,        4, CC:2D:E0:4E:38:C4,
1E:C1:0D:9A:05:C8, 2024-04-03 14:33:39, 2024-04-03 14:33:43, -66,       26, CC:2D:E0:4E:38:C4,
E8:84:A5:25:10:A2, 2024-04-03 14:33:39, 2024-04-03 14:33:39, -37,        2, CC:2D:E0:4E:38:C4,
A0:59:50:2F:DA:8C, 2024-04-03 14:33:39, 2024-04-03 14:33:39, -47,        2, CC:2D:E0:4E:38:C4,
4A:52:60:CD:D4:6D, 2024-04-03 14:33:39, 2024-04-03 14:33:39, -57,        1, CC:2D:E0:4E:38:C4,
B8:8A:60:CE:65:67, 2024-04-03 14:33:40, 2024-04-03 14:33:44, -52,       70, 00:1E:42:61:69:4F,
A0:59:50:96:45:10, 2024-04-03 14:33:40, 2024-04-03 14:33:40,  -1,        2, 00:1E:42:61:69:4F,
3C:55:76:E9:29:5B, 2024-04-03 14:33:43, 2024-04-03 14:33:43, -36,        1, CC:2D:E0:4E:38:C4,
50:28:4A:CB:3C:70, 2024-04-03 14:33:43, 2024-04-03 14:33:43, -45,        1, CC:2D:E0:4E:38:C4,
8C:F5:13:1F:39:5E, 2024-04-03 14:33:44, 2024-04-03 14:33:44,  -1,        3, 72:05:43:D1:30:E1,
6E:81:73:35:51:18, 2024-04-03 14:33:45, 2024-04-03 14:33:45, -73,        1, (not associated) ,

