
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
CC:2D:E0:4E:38:C4, 2024-04-03 14:35:38, 2024-04-03 14:35:47,  4, 135, WPA2 WPA, CCMP, PSK, -41,       73,     4928,   0.  0.  0.  0,  11, VUZ-jidelna, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
10:5B:AD:B5:27:6D, 2024-04-03 14:35:38, 2024-04-03 14:35:47, -45,       88, CC:2D:E0:4E:38:C4,
C8:E2:65:8D:3D:C6, 2024-04-03 14:35:38, 2024-04-03 14:35:47, -47,     1245, CC:2D:E0:4E:38:C4,
DA:07:34:0D:DC:3F, 2024-04-03 14:35:38, 2024-04-03 14:35:47, -50,     1812, CC:2D:E0:4E:38:C4,
E8:84:A5:25:10:A2, 2024-04-03 14:35:38, 2024-04-03 14:35:47, -35,      184, CC:2D:E0:4E:38:C4,
A0:59:50:2F:DA:8C, 2024-04-03 14:35:38, 2024-04-03 14:35:47, -48,       64, CC:2D:E0:4E:38:C4,
A0:59:50:2C:BB:2C, 2024-04-03 14:35:38, 2024-04-03 14:35:47, -55,      313, CC:2D:E0:4E:38:C4,
3C:55:76:E9:53:8D, 2024-04-03 14:35:38, 2024-04-03 14:35:47, -49,      575, CC:2D:E0:4E:38:C4,
3C:9C:0F:72:F5:F1, 2024-04-03 14:35:38, 2024-04-03 14:35:47, -22,      448, CC:2D:E0:4E:38:C4,
8C:F1:12:2C:7B:48, 2024-04-03 14:35:38, 2024-04-03 14:35:46, -51,      290, CC:2D:E0:4E:38:C4,
28:3A:4D:14:C6:1B, 2024-04-03 14:35:38, 2024-04-03 14:35:47, -61,       72, CC:2D:E0:4E:38:C4,
0A:45:77:A2:33:52, 2024-04-03 14:35:38, 2024-04-03 14:35:47, -49,      117, CC:2D:E0:4E:38:C4,
3C:55:76:E9:36:2B, 2024-04-03 14:35:38, 2024-04-03 14:35:47, -53,      565, CC:2D:E0:4E:38:C4,
C8:58:C0:21:9D:C3, 2024-04-03 14:35:39, 2024-04-03 14:35:46, -50,       52, CC:2D:E0:4E:38:C4,
A0:59:50:2F:D8:D9, 2024-04-03 14:35:39, 2024-04-03 14:35:45, -35,        8, CC:2D:E0:4E:38:C4,
1E:C1:0D:9A:05:C8, 2024-04-03 14:35:39, 2024-04-03 14:35:45,  -1,       19, CC:2D:E0:4E:38:C4,
3E:9B:11:3F:81:D7, 2024-04-03 14:35:40, 2024-04-03 14:35:45,  -1,       23, CC:2D:E0:4E:38:C4,
0C:96:E6:B7:6A:B9, 2024-04-03 14:35:40, 2024-04-03 14:35:40, -45,        1, CC:2D:E0:4E:38:C4,
8E:E0:9D:25:B3:D5, 2024-04-03 14:35:40, 2024-04-03 14:35:46,  -1,       43, CC:2D:E0:4E:38:C4,
3C:55:76:E9:29:5B, 2024-04-03 14:35:40, 2024-04-03 14:35:45, -40,        4, CC:2D:E0:4E:38:C4,
4A:52:60:CD:D4:6D, 2024-04-03 14:35:40, 2024-04-03 14:35:45, -55,       30, CC:2D:E0:4E:38:C4,
E2:87:23:DE:37:B8, 2024-04-03 14:35:40, 2024-04-03 14:35:46, -55,       51, CC:2D:E0:4E:38:C4,
EA:76:09:50:FC:4B, 2024-04-03 14:35:44, 2024-04-03 14:35:45, -59,       36, CC:2D:E0:4E:38:C4,
3C:55:76:E9:28:ED, 2024-04-03 14:35:44, 2024-04-03 14:35:45, -57,        2, CC:2D:E0:4E:38:C4,
3C:55:76:E9:27:47, 2024-04-03 14:35:45, 2024-04-03 14:35:45, -55,       16, CC:2D:E0:4E:38:C4,
50:28:4A:CB:3C:70, 2024-04-03 14:35:45, 2024-04-03 14:35:45, -45,        2, CC:2D:E0:4E:38:C4,

